snr,strategy,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual,accuracy
0.5,RegimeOnly,0.037155049499707785,0.09059879001840072,0.033482488487713846,0.18935186105933172,0.2379263237033017,-0.4017206239059731,0.08334769612314147,0.47596112767138404,0.015152341251826407,0.5462962962962963
1.0,NarrativeRegimes,0.036398969961505295,0.10571646692480037,0.03125204561774475,0.1551221908803519,0.22944862814441308,-0.3649566450774141,0.08563221423496922,0.2795116689133483,0.008117580349684683,0.5555555555555556
1.0,RegimeOnly,0.04475961228093356,0.10023808380903415,0.040494089944770106,0.24700803666701823,0.3861748089640179,-0.38988677108054737,0.1038611539256467,0.19463397269594473,0.01981726050644661,0.5524691358024691
1.0,NarrativeRegimes,0.030363121000413277,0.0918191464914569,0.02645464797558117,0.11286448846894354,0.16484373218181655,-0.3300047948117796,0.08016443515819142,0.6703169007740234,0.008937721366992335,0.6574074074074074
1.0,RegimeOnly,0.03504273354002321,0.09240503154893978,0.03119597389502471,0.16279128190174622,0.2295027832087732,-0.3646299528724998,0.0855551598250981,0.7269642625704067,0.013266476948874173,0.5092592592592593
1.0,NarrativeRegimes,0.02490894725844132,0.07690773168504064,0.022162998595497863,0.06382904749479383,0.08950686174570516,-0.21071954306634677,0.10517770811850927,0.46646015347074393,0.009765915827758098,0.6790123456790124
1.0,RegimeOnly,0.029591331378371524,0.09197918256685732,0.02565688786003828,0.1042771974125757,0.15871912183780218,-0.23007503624877568,0.11151530508636315,0.6022508618887651,0.008146754794417621,0.21604938271604937
1.0,NarrativeRegimes,0.033338825696292124,0.09276724360911721,0.029445441152379237,0.1437880999514916,0.2202865000010761,-0.34960038714917263,0.08422599698041817,0.31875329659251167,0.011867284283031854,0.2993827160493827
1.0,RegimeOnly,0.035016581795645305,0.08737104628139916,0.03167986050828131,0.1718713742683227,0.26393810015492103,-0.31782704907759285,0.09967641394973634,0.16961974189133439,0.016195104194826504,0.12037037037037036
1.0,NarrativeRegimes,0.041466572637878965,0.08278544208440003,0.038716266291081824,0.25930371448634315,0.37539819176659206,-0.3223164871335832,0.12011878956423341,0.42254930890787856,0.024440701765678696,0.7345679012345679
1.0,RegimeOnly,0.04049567358050255,0.07570272120414968,0.03830151396049786,0.2707389279340604,0.4211306737627993,-0.28267611661660474,0.13549610918295735,0.48138024965343074,0.026511066008280126,0.5493827160493827
1.0,NarrativeRegimes,0.03924377422265178,0.09314728376252945,0.035518170973583896,0.20659511952825194,0.35898792028574067,-0.196197899899625,0.18103237084471863,0.5539813590998293,0.018099700615588743,0.6481481481481481
1.0,RegimeOnly,0.032544911018570544,0.09735229849714105,0.028194554649365378,0.12886096386249113,0.2083919508995603,-0.22790758815088152,0.12371046913409374,0.5603047611476909,0.009014417860483848,0.5308641975308642
1.0,NarrativeRegimes,0.025561353262839002,0.07539203169978673,0.022963432229945457,0.07376579643037702,0.11004727450384584,-0.37333877746274013,0.06150829652898097,0.15239885035868025,0.011331679485145463,0.6790123456790124
1.0,RegimeOnly,0.024853755832019632,0.07307176134314189,0.022413530204170584,0.06642450849414452,0.10050916729344445,-0.36250601267407623,0.06182940260448109,0.14093557106451168,0.011454558146130056,0.6759259259259259
1.0,NarrativeRegimes,0.02308890451341137,0.08323443292361961,0.01980447998339674,0.037110897556614744,0.05540130486947015,-0.24010433100750972,0.08248281028623893,0.0727355867968636,0.0056234411702518194,0.6944444444444444
1.0,RegimeOnly,0.02255211588880057,0.08316499778611991,0.01926375906080935,0.030687379988441614,0.04579343625427108,-0.2402566518842134,0.08017991972223565,0.08059783246030218,0.0051116362351792954,0.6944444444444444
1.0,NarrativeRegimes,0.036286558757039275,0.07801363053887592,0.03376799973246225,0.20876555346213915,0.31683796152871174,-0.2996268995022586,0.11270016072841853,0.3696955592499121,0.0212474971012393,0.7469135802469136
1.0,RegimeOnly,0.036333236351937206,0.06742596532065734,0.034607251270136086,0.24223956267086882,0.3871568616975869,-0.32980441203921096,0.10493265101020412,0.28764775821774635,0.02525518685023731,0.39814814814814814
1.0,NarrativeRegimes,0.012005326121815992,0.10985074834306133,0.005729131746582183,-0.07277760050588666,-0.0855872183101901,-0.3577710437223274,0.016013402557610745,0.8271542762196931,-0.023729756829572346,0.5432098765432098
1.0,RegimeOnly,0.018962083898323302,0.1066683787821272,0.013250932881687216,-0.009730307271254866,-0.012164626131428245,-0.354028015708874,0.03742905163918944,0.7608430834312284,-0.011650691530171065,0.32407407407407407
1.0,NarrativeRegimes,0.04250556129434625,0.09924911646177537,0.038246135019516236,0.22675830371763564,0.3331425150184481,-0.2851886504571224,0.13410819455196543,0.5689440492047113,0.017797961666720985,0.6666666666666666
1.0,RegimeOnly,0.03983789907282198,0.0996055408359599,0.035428567972336955,0.19916461379887448,0.27855789229957095,-0.361506386762914,0.09800260595554014,0.7291330003278105,0.014543350724852688,0.5123456790123457
1.0,NarrativeRegimes,0.02837685035809631,0.08829247290705394,0.024747630047284197,0.09487615514988093,0.13152263954638832,-0.34507102414996904,0.07171749673345158,0.3761717724391929,0.008548806379225393,0.6820987654320988
1.0,RegimeOnly,0.031037050465712347,0.08645799693392417,0.0276387483589704,0.12765794787204532,0.18025474443388517,-0.3077747212557408,0.08980187926481589,0.36349840913923487,0.012097073883976073,0.6018518518518519
1.0,NarrativeRegimes,0.026291091611631488,0.0660702042272151,0.024387657942556595,0.09521828614297079,0.1515706257150359,-0.19859705563947483,0.12279969541355626,0.3414031548889163,0.015526862513954853,0.2962962962962963
1.0,RegimeOnly,0.030882932631562606,0.06909494049501455,0.028879459272908248,0.1575069397787215,0.23941059249799124,-0.17823957619023656,0.1620260768690617,0.22471944230573065,0.019090343663516585,0.30864197530864196
1.0,NarrativeRegimes,0.041334711332669756,0.07958878891000343,0.0388597339716239,0.26806176629719036,0.4121202103572312,-0.18257776914031976,0.2128393514423891,0.4712494377617553,0.025822443889488955,0.4444444444444444
1.0,RegimeOnly,0.031600379358348585,0.06785851053910269,0.02969823667976823,0.17094951342417097,0.250907637213234,-0.17298979096507838,0.1716762388929844,0.27331729338818145,0.020182240172856858,0.27469135802469136
1.0,NarrativeRegimes,0.041017126904813385,0.10638550404595619,0.035915635714852234,0.1975563033073984,0.2726730293310662,-0.339041220009492,0.10593294736801241,0.5433632281422694,0.011900368905846337,0.6635802469135802
1.0,RegimeOnly,0.05284592069278379,0.08858163023009451,0.05005724203606321,0.37079833152161595,0.5970498176150927,-0.26001544204798854,0.1925164199548757,0.5727050330844121,0.03375183417610428,0.24382716049382716
1.0,NarrativeRegimes,0.013227561595861496,0.09208680310262157,0.009035862422738461,-0.07354407120194298,-0.11308184222610877,-0.4259057663982079,0.02121563767298287,0.4671071202309447,-0.00802211143139775,0.5771604938271605
1.0,RegimeOnly,0.018837037863063844,0.08596859496126581,0.015211380525979479,-0.013527755542127274,-0.018322713985838065,-0.3419765547257404,0.04448077014571586,0.4200251968334593,-0.000513637505122011,0.5092592592592593
1.0,NarrativeRegimes,0.0172452107151096,0.08499297114416374,0.013721475689603135,-0.03241196592854451,-0.049405295809365306,-0.4691906547183988,0.02924498932707549,0.12934825823840437,-0.0009703813493607827,0.5987654320987654
1.0,RegimeOnly,0.012944679607907126,0.08405232503007472,0.009452399096965491,-0.08393962201008019,-0.12739283944730395,-0.48111227938879375,0.01964697119968304,0.08210949746433129,-0.00489305713700483,0.5740740740740741
1.0,NarrativeRegimes,0.0560905351055914,0.06343173223082489,0.05545745526658452,0.568966569827539,1.0100175533392406,-0.10073025885217524,0.5505540827406197,0.11272620622534371,0.04711725027085678,0.5432098765432098
1.0,RegimeOnly,0.05532732841770449,0.06419946610751143,0.054606847413127824,0.5502744891763381,0.9778201575389094,-0.10259711517597014,0.5322454468575312,0.15827858131635758,0.046098462903541915,0.4722222222222222
